EPOCH,WEIGHT_UPDATES,LOSS_TOK2VEC,LOSS_NER,ENTS_F,ENTS_P,ENTS_R,SCORE,RUN
0,0,0.00,40.89,0.41,2.86,0.22,0.00,NER_01
0,200,2326.77,1799.83,0.00,0.00,0.00,0.00,NER_01
0,400,7912.90,947.65,15.99,31.21,10.75,0.16,NER_01
0,600,3648.21,1036.96,33.75,57.37,23.90,0.34,NER_01
0,800,2207.60,1063.84,38.80,55.51,29.82,0.39,NER_01
1,1000,335.80,834.24,41.82,59.51,32.24,0.42,NER_01
1,1200,506.39,1124.79,46.84,64.98,36.62,0.47,NER_01
2,1400,3034.56,1282.58,49.87,60.69,42.32,0.50,NER_01
3,1600,1697.59,1438.85,49.71,52.57,47.15,0.50,NER_01
4,1800,775.41,1261.72,55.95,59.17,53.07,0.56,NER_01
5,2000,4670.78,1500.19,57.71,61.75,54.17,0.58,NER_01
6,2200,824.13,1471.56,57.93,64.10,52.85,0.58,NER_01
8,2400,1251.59,1371.14,58.49,72.26,49.12,0.58,NER_01
10,2600,767.55,1163.74,56.96,67.37,49.34,0.57,NER_01
12,2800,1033.54,1029.28,59.61,62.71,56.80,0.60,NER_01
13,3000,926.64,918.74,59.20,68.39,52.19,0.59,NER_01
15,3200,695.69,763.41,58.72,65.07,53.51,0.59,NER_01
17,3400,1411.07,716.47,54.61,63.29,48.03,0.55,NER_01
19,3600,1688.89,656.81,61.46,67.90,56.14,0.61,NER_01
21,3800,497.42,520.03,60.37,63.59,57.46,0.60,NER_01
23,4000,1803.58,585.23,61.67,67.45,56.80,0.62,NER_01
24,4200,1817.29,470.04,61.52,64.81,58.55,0.62,NER_01
26,4400,842.45,452.72,61.52,68.36,55.92,0.62,NER_01
28,4600,1081.08,454.79,61.50,66.16,57.46,0.62,NER_01
30,4800,1089.24,414.69,61.00,65.01,57.46,0.61,NER_01
32,5000,1540.14,458.55,60.49,69.21,53.73,0.60,NER_01
34,5200,778.70,314.62,59.32,69.10,51.97,0.59,NER_01
35,5400,1932.03,438.64,61.26,68.38,55.48,0.61,NER_01
37,5600,1369.40,377.97,63.10,64.17,62.06,0.63,NER_01
39,5800,1225.14,332.81,60.05,63.41,57.02,0.60,NER_01
41,6000,1303.06,409.93,61.68,66.00,57.89,0.62,NER_01
43,6200,1477.81,327.95,60.61,62.82,58.55,0.61,NER_01
45,6400,2164.90,289.01,61.50,70.03,54.82,0.62,NER_01
46,6600,1646.44,323.81,59.84,62.17,57.68,0.60,NER_01
48,6800,1292.50,303.86,57.96,66.95,51.10,0.58,NER_01
50,7000,1084.43,237.54,60.31,67.02,54.82,0.60,NER_01
52,7200,1473.57,272.63,61.04,67.83,55.48,0.61,NER_01
0,0,0.00,61.16,0.00,0.00,0.00,0.00,NER_02
0,200,3432.42,2006.82,0.00,0.00,0.00,0.00,NER_02
0,400,35452.45,937.79,4.12,14.10,2.41,0.04,NER_02
0,600,8345.10,1036.81,32.18,43.77,25.44,0.32,NER_02
0,800,11551.31,992.28,45.20,53.27,39.25,0.45,NER_02
1,1000,523.13,889.24,47.49,59.60,39.47,0.47,NER_02
1,1200,2357.69,1103.69,52.17,72.37,40.79,0.52,NER_02
2,1400,764.78,976.93,56.01,67.18,48.03,0.56,NER_02
3,1600,832.86,1258.44,56.97,63.69,51.54,0.57,NER_02
4,1800,8578.65,1344.83,63.89,67.65,60.53,0.64,NER_02
5,2000,859.79,1197.58,59.69,66.13,54.39,0.60,NER_02
6,2200,927.56,1187.49,61.71,70.94,54.61,0.62,NER_02
8,2400,772.60,1052.07,64.56,72.60,58.11,0.65,NER_02
10,2600,872.12,758.31,64.69,70.36,59.87,0.65,NER_02
12,2800,953.16,656.70,60.69,76.16,50.44,0.61,NER_02
13,3000,980.38,564.33,63.23,69.66,57.89,0.63,NER_02
15,3200,1695.00,547.77,66.34,74.73,59.65,0.66,NER_02
17,3400,1464.97,469.65,63.95,70.45,58.55,0.64,NER_02
19,3600,1457.01,397.28,66.03,72.32,60.75,0.66,NER_02
21,3800,1085.35,368.66,59.13,71.43,50.44,0.59,NER_02
23,4000,1749.74,347.79,66.74,71.61,62.50,0.67,NER_02
24,4200,1795.86,348.18,63.44,72.93,56.14,0.63,NER_02
26,4400,1916.66,350.54,61.23,70.06,54.39,0.61,NER_02
28,4600,1760.54,331.84,61.65,70.42,54.82,0.62,NER_02
30,4800,1625.75,280.04,63.15,69.76,57.68,0.63,NER_02
32,5000,3037.78,283.02,60.90,66.24,56.36,0.61,NER_02
33,5200,1673.20,292.10,60.45,66.40,55.48,0.60,NER_02
35,5400,867.07,237.28,62.93,70.88,56.58,0.63,NER_02
37,5600,1144.71,179.55,62.58,72.89,54.82,0.63,NER_02
0,0,0,61.16,0,0,0,0,NER_03
0,200,3432.42,2006.82,0,0,0,0,NER_03
0,400,35452.45,937.79,4.12,14.1,2.41,0.04,NER_03
0,600,8345.1,1036.81,32.18,43.77,25.44,0.32,NER_03
0,800,11551.31,992.28,45.2,53.27,39.25,0.45,NER_03
1,1000,523.13,889.24,47.49,59.6,39.47,0.47,NER_03
1,1200,2357.69,1103.69,52.17,72.37,40.79,0.52,NER_03
2,1400,764.78,976.93,56.01,67.18,48.03,0.56,NER_03
3,1600,832.86,1258.44,56.97,63.69,51.54,0.57,NER_03
4,1800,8578.65,1344.83,63.89,67.65,60.53,0.64,NER_03
5,2000,859.79,1197.58,59.69,66.13,54.39,0.6,NER_03
6,2200,927.56,1187.49,61.71,70.94,54.61,0.62,NER_03
8,2400,772.6,1052.07,64.56,72.6,58.11,0.65,NER_03
10,2600,872.12,758.31,64.69,70.36,59.87,0.65,NER_03
12,2800,953.16,656.7,60.69,76.16,50.44,0.61,NER_03
13,3000,980.38,564.33,63.23,69.66,57.89,0.63,NER_03
15,3200,1695,547.77,66.34,74.73,59.65,0.66,NER_03
17,3400,1464.97,469.65,63.95,70.45,58.55,0.64,NER_03
19,3600,1457.01,397.28,66.03,72.32,60.75,0.66,NER_03
21,3800,1085.35,368.66,59.13,71.43,50.44,0.59,NER_03
23,4000,1749.74,347.79,66.74,71.61,62.5,0.67,NER_03
24,4200,1795.86,348.18,63.44,72.93,56.14,0.63,NER_03
26,4400,1916.66,350.54,61.23,70.06,54.39,0.61,NER_03
28,4600,1760.54,331.84,61.65,70.42,54.82,0.62,NER_03
30,4800,1625.75,280.04,63.15,69.76,57.68,0.63,NER_03
32,5000,3037.78,283.02,60.9,66.24,56.36,0.61,NER_03
33,5200,1673.2,292.1,60.45,66.4,55.48,0.6,NER_03
35,5400,867.07,237.28,62.93,70.88,56.58,0.63,NER_03
37,5600,1144.71,179.55,62.58,72.89,54.82,0.63,NER_03
0,0,0,43.38,0.25,0.32,0.2,0,NER_04
0,200,380.6,1414.82,0.39,3.45,0.2,0,NER_04
0,400,447.65,918,10.79,31.07,6.53,0.11,NER_04
0,600,4402.04,919.34,31.07,48.48,22.86,0.31,NER_04
0,800,944.68,950.58,44.96,61.27,35.51,0.45,NER_04
1,1000,5199.58,1084.08,57.11,62.11,52.86,0.57,NER_04
1,1200,447.45,1075.4,56.06,63.8,50,0.56,NER_04
2,1400,1523.14,1159.67,58.29,84.5,44.49,0.58,NER_04
3,1600,1255.8,1290.22,63.4,71.83,56.73,0.63,NER_04
4,1800,690.96,1353.57,58.61,62.85,54.9,0.59,NER_04
5,2000,832.29,1392.91,64.32,72.56,57.76,0.64,NER_04
6,2200,700.15,1344.31,60.32,67.86,54.29,0.6,NER_04
8,2400,853.54,1375.51,64.5,71.46,58.78,0.65,NER_04
9,2600,696.48,1114.2,63.32,68.08,59.18,0.63,NER_04
11,2800,669.05,953.22,64.25,69.43,59.8,0.64,NER_04
13,3000,1129.35,964.66,62.09,69.17,56.33,0.62,NER_04
15,3200,707.27,811.96,63.09,69.8,57.55,0.63,NER_04
17,3400,626.63,682.23,62.51,70.23,56.33,0.63,NER_04
